design_key,Display Name,Family,Rank,Reasoning Key,Keywords,Best For,Not For,Evidence Class,Brand Scope
deck-generic,"Slide deck, bold minimal",deck,1,deck-generic,"slide deck, presentation, one idea per slide, high contrast, 6x6 heuristic","slide decks read in projection, on screen, or as a printed handout","long-form reports, dense tabular documents",convention,generic
flyer-print-marketing,"Flyer, bold print marketing",flyer,1,print-marketing,"flyer, single sheet, handout, marketing print, bold hierarchy, high contrast","single-sheet flyers and handouts, one-page promotional print","CVs, forms, long-form reports",convention,generic
form-handfilled,"Form, grid underline",form,1,form-handfilled,"form, grid, underline fields, tabular, line-item, photocopy-safe, hairline","hand-filled forms, fiches, quotes/devis, invoices, any field- or line-item-based document","long-form prose reports, marketing, slide decks",convention,generic
infographic-scaffold,"Infographic, bold",infographic,1,infographic-scaffold,"infographic, data visual, stat callout, bold hierarchy, single canvas, social",Infographics and single-canvas data-visual graphics for social or web distribution,"CVs, forms, long-form reports, folded print marketing collateral",convention,generic
invoice-tabular,"Invoice, tabular",invoice,1,invoice-tabular,"invoice, bill, line items, tabular invoice, header-and-total","tabular invoices, line-item billing documents","long-form prose reports, marketing, slide decks",convention,generic
letter-formal,"Letter, formal grid",letter,1,letter-formal,"formal letter, letterhead, correspondence, single column","formal business correspondence, letterhead-based letters","forms, marketing, slide decks",convention,generic
memo-internal,"Memo, plain",memo,1,memo-internal,"memo, internal note, header block, single column, restrained","internal memos, note-style internal documents","external client-facing letters, marketing",convention,generic
one-pager-restrained,"One-pager, tight",one-pager,1,one-pager-restrained,"one-pager, single page, high density, restrained, compact","single-page summaries, fact sheets bound to report-typography","long-form multi-page reports, slide decks",convention,generic
poster-print-marketing,"Poster, bold print marketing",poster,1,print-marketing,"poster, wall poster, event poster, large format print, bold hierarchy","wall/event posters, large-format print marketing collateral","CVs, forms, long-form reports",convention,generic
proposal-serif-centered,"Proposal, serif centred title",proposal,1,proposal-serif-centered,"proposal, research proposal, grant proposal, thesis proposal, serif, centered title, single column, restrained, monochrome","Research, grant and thesis proposals: a centred serif title block over single-column text in ink -- the most frequent admissible layout in the GitHub proposal corpus, which skews to academic and grant templates (a separate cover page appears in 24 of 39 admissible corpus items; a variant, not fitted)","commercial sales or consultancy proposals needing a branded cover, slide-style pitch decks, tabular quotes",ranked,generic
proposal-sans-centered,"Proposal, sans centred title",proposal,2,proposal-sans-centered,"proposal, research proposal, application proposal, sans, centered title, single column, restrained, monochrome","Research and application proposals wanting a centred sans title block in ink -- second most frequent layout in the GitHub corpus (academic and grant skew) (a separate cover page appears in 24 of 39 admissible corpus items; a variant, not fitted)","commercial sales or consultancy proposals needing a branded cover, slide-style pitch decks, tabular quotes",ranked,generic
proposal-sans-plain-left,"Proposal, sans left-aligned title",proposal,3,proposal-sans-plain-left,"proposal, project proposal, sans, left-aligned title, single column, restrained, monochrome","Proposals with a left-aligned sans title block and no colour-coded meaning (academic and grant skew of the GitHub corpus) (a separate cover page appears in 24 of 39 admissible corpus items; a variant, not fitted)","commercial sales or consultancy proposals needing a branded cover, slide-style pitch decks, tabular quotes",ranked,generic
proposal-serif-ruled,"Proposal, serif ruled title",proposal,4,proposal-serif-ruled,"proposal, project proposal, serif, ruled title, full-width rule, single column, restrained, monochrome","Proposals whose serif title block is bounded by a full-width rule (thesis and institute templates; academic skew of the GitHub corpus) (a separate cover page appears in 24 of 39 admissible corpus items; a variant, not fitted)","commercial sales or consultancy proposals needing a branded cover, slide-style pitch decks, tabular quotes",ranked,generic
proposal-sans-accent-centered,"Proposal, sans accent centred title",proposal,5,proposal-sans-accent-centered,"proposal, grant proposal, sans, one accent, centered title, single column","Proposals with a centred sans title block and one restrained accent colour, as in national-funding application templates (2 corpus items; academic and grant skew) (a separate cover page appears in 24 of 39 admissible corpus items; a variant, not fitted)","commercial sales or consultancy proposals needing a branded cover, slide-style pitch decks, tabular quotes",ranked,generic
proposal-narrative,"Proposal, narrative serif",proposal,6,proposal-narrative,"proposal, project proposal, business proposal, narrative, persuasive","narrative business and project proposals (commercial and consultancy proposals outside the academic and grant skew of the GitHub corpus; convention only, no ranking evidence)","slide decks, one-page flyers, tabular quotes",convention,generic
quote-devis,"Quote / devis, tabular",quote,1,quote-devis,"quote, devis, pricing table, line-item, tabular, restrained","price quotes/devis, line-item pricing documents","long-form prose reports, marketing, slide decks",convention,generic
report-classic,"Classic report, serif",report,1,report-classic,"report, whitepaper, formal, scholarly, serif body","long-form reports, whitepapers, policy documents","slide decks, one-page flyers",convention,generic
whitepaper-formal,"Whitepaper, formal serif",whitepaper,1,whitepaper-formal,"whitepaper, white paper, technical paper, citations, bibliography, formal","technical papers, position papers, citation-heavy documents","slide decks, one-page flyers",convention,generic
