doc_key,Display Name,Keywords,Artifact Class,Brand Scope,Reasoning Key,Page Format Key,Render Target Keys,Constraint Set Keys,Structure Key,Region Key,Default Language
letter-formal,Formal business letter,"letter, business letter, formal letter, official letter, correspondence, write a letter, draft a letter, courrier, lettre formelle, rédige une lettre, fais-moi un courrier, geschäftsbrief, formeller brief, erstelle einen brief",flow,generic,letter-formal,a4-letter-standard,pdf-chromium;docx-office,print-legibility,letter-standard,,en
memo-internal,Internal note / memo,"internal memo, note, memorandum, staff note, announcement, write a memo, note interne, note de service, mémo, rédige une note, fais-moi une note interne, internes memo, rundschreiben, mitteilung, erstelle ein memo",flow,generic,memo-internal,a4-letter-standard,pdf-chromium;docx-office,,memo-standard,,en
form-handfilled,Hand-filled form,"form, fillable form, intake form, application form, registration form, print and fill, formulaire, fiche, fiche à remplir, formulaire papier, fais-moi un formulaire, formular, ausfüllbares formular, erstelle ein formular",flow,generic,form-handfilled,a4-form-standard,pdf-chromium,photocopy-safe;legal-text,form-standard,,en
brochure-trifold-letter,"Brochure -- tri-fold, US Letter","brochure, trifold, tri-fold, leaflet, flyer, pamphlet, three panel brochure, letter size, dépliant, brochure trois volets, plaquette, faltblatt, dreifach gefaltet, broschüre",flow,generic,print-marketing,letter-trifold,pdf-weasyprint-pdfx4;pdf-chromium,professional-print,brochure-3panel,,en
brochure-trifold-a4,"Brochure -- tri-fold, A4","brochure, trifold, tri-fold, leaflet, a4 brochure, three panel brochure european size, dépliant a4, brochure trois volets a4, faltblatt a4, broschüre a4",flow,generic,print-marketing,a4-trifold,pdf-weasyprint-pdfx4;pdf-chromium,professional-print,brochure-3panel,,en
brochure-gatefold,Brochure -- gate-fold,"gatefold, gate-fold brochure, double gate fold, four panel brochure, dépliant portefeuille, brochure porte, wickelfalz, portfolio-falz",flow,generic,print-marketing,letter-gatefold,pdf-weasyprint-pdfx4;pdf-chromium,professional-print,brochure-gatefold,,en
brochure-flyer-letter,"Flyer -- single sheet, US Letter","flyer, single sheet flyer, handout, promotional sheet, one page flyer, letter size flyer, flyer une page, tract, einseitiger flyer, handzettel",flow,generic,print-marketing,letter-flyer,pdf-weasyprint-pdfx4;pdf-chromium,professional-print,flyer-single-sheet,,en
brochure-flyer-a4,"Flyer -- single sheet, A4","flyer, single sheet flyer, a4 flyer, promotional sheet a4, poster-sized handout, flyer a4, tract a4, affichette, handzettel a4",flow,generic,print-marketing,a4-flyer,pdf-weasyprint-pdfx4;pdf-chromium,professional-print,flyer-single-sheet,,en
poster,Poster,"poster, wall poster, event poster, a3 poster, large format print, affiche, affiche a3, fais-moi une affiche, plakat, poster erstellen",canvas,generic,print-marketing,a3-poster,pdf-weasyprint-pdfx4;pdf-chromium,professional-print,poster-single-canvas,,en
report-short,Report -- short,"report, short report, summary report, briefing note, status report, write a report, rapport, rapport court, note de synthèse, rédige un rapport, bericht, kurzbericht, erstelle einen bericht",flow,generic,report-classic,a4-report-standard,pdf-chromium;docx-office,report-typography;print-legibility,report-short,,en
report-long-toc,Report -- long-form with table of contents,"long report, full report, annual report, report with table of contents, toc, running heads, rapport long, rapport annuel, sommaire, table des matières, langbericht, jahresbericht, inhaltsverzeichnis",flow,generic,report-classic,a4-report-standard,pdf-chromium;docx-office,report-typography;print-legibility,report-long-toc,,en
whitepaper,Whitepaper,"whitepaper, white paper, technical paper, position paper, citations, bibliography, references, livre blanc, rédige un livre blanc, whitepaper erstellen, fachartikel",flow,generic,whitepaper-formal,a4-report-standard,pdf-chromium;docx-office,report-typography;print-legibility,whitepaper-standard,,en
proposal,Proposal (narrative),"proposal, project proposal, business proposal, pitch document, write a proposal, proposition, proposition commerciale, rédige une proposition, angebot, projektvorschlag, erstelle einen vorschlag",flow,generic,proposal-narrative,a4-report-standard,pdf-chromium;docx-office,report-typography,proposal-standard,,en
quote-devis,Quote / devis (pricing table),"quote, price quote, quotation, estimate, devis, devis client, fais-moi un devis, rédige un devis, ligne de prix, kostenvoranschlag, angebot mit preisliste",flow,generic,quote-devis,a4-form-standard,pdf-chromium,report-typography,invoice-standard,,en
slide-deck-projection,Slide deck -- projection,"slides, presentation, powerpoint, pptx, deck, projector, pitch deck, keynote, diaporama, fais-moi une présentation, folien, erstelle eine präsentation",canvas,generic,deck-generic,widescreen-16-9,pptx-office,projection,deck-standard,,en
slide-deck-document,Slide deck -- read on screen (deck as document),"slides, presentation, webinar deck, screen-share deck, deck as document, self-contained deck, présentation à lire à l'écran, deck autoportant, präsentation zum lesen, selbsterklärende folien",canvas,generic,deck-generic,widescreen-16-9,pptx-office;pdf-chromium,screen,deck-standard,,en
slide-deck-handout,Slide deck -- handout / leave-behind (print-dense),"handout deck, leave-behind, printed slides, dense slides, deck to print, deck for reading not presenting, support de présentation à imprimer, document à laisser, handout, präsentation zum ausdrucken, ausdruck der folien",hybrid,generic,deck-generic,widescreen-16-9,pptx-office;pdf-chromium,print-legibility,deck-standard,,en
one-pager,One-pager,"one pager, one-page summary, single page brief, fact sheet, one page document, une page, résumé sur une page, fiche synthétique, einseiter, ein-seiten-dokument",flow,generic,one-pager-restrained,a4-one-pager,pdf-chromium;docx-office,report-typography,one-pager-standard,,en
infographic,Infographic,"infographic, data visual, visual summary, statistics graphic, infographie, visuel de données, infografik",canvas,generic,infographic-scaffold,px-infographic-portrait,png-social,screen,infographic-canvas,,en
invoice-tabular,"Invoice (tabular, line items)","invoice, bill, line items, invoice document, tabular invoice, facture, facture client, ligne de facture, rechnung, rechnungsdokument",flow,generic,invoice-tabular,a4-form-standard,pdf-chromium,report-typography,invoice-standard,,en
